Group,Place
urn:cite:phoros:paygroups.1,urn:cite:phoros:places.9
urn:cite:phoros:paygroups.1,urn:cite:phoros:places.10
urn:cite:phoros:paygroups.2,urn:cite:phoros:places.14
urn:cite:phoros:paygroups.2,urn:cite:phoros:places.15
urn:cite:phoros:paygroups.2,urn:cite:phoros:places.16
urn:cite:phoros:paygroups.3,urn:cite:phoros:places.53
urn:cite:phoros:paygroups.3,urn:cite:phoros:places.54
urn:cite:phoros:paygroups.3,urn:cite:phoros:places.55
urn:cite:phoros:paygroups.4,urn:cite:phoros:places.58
urn:cite:phoros:paygroups.4,urn:cite:phoros:places.59
urn:cite:phoros:paygroups.6,urn:cite:phoros:places.141
urn:cite:phoros:paygroups.6,urn:cite:phoros:places.142
urn:cite:phoros:paygroups.11,urn:cite:phoros:places.154
urn:cite:phoros:paygroups.11,urn:cite:phoros:places.177
urn:cite:phoros:paygroups.11,urn:cite:phoros:places.178
urn:cite:phoros:paygroups.11,urn:cite:phoros:places.66
urn:cite:phoros:paygroups.12,urn:cite:phoros:places.198
urn:cite:phoros:paygroups.12,urn:cite:phoros:places.154
urn:cite:phoros:paygroups.12,urn:cite:phoros:places.177
urn:cite:phoros:paygroups.12,urn:cite:phoros:places.66
urn:cite:phoros:paygroups.12,urn:cite:phoros:places.212
urn:cite:phoros:paygroups.12,urn:cite:phoros:places.178
