Location,Place
urn:cite:phoros:loc.2,urn:cite:phoros:places.1
urn:cite:phoros:loc.3,urn:cite:phoros:places.13
urn:cite:phoros:loc.4,urn:cite:phoros:places.24
urn:cite:phoros:loc.5,urn:cite:phoros:places.4
urn:cite:phoros:loc.6,urn:cite:phoros:places.5
urn:cite:phoros:loc.7,urn:cite:phoros:places.11
urn:cite:phoros:loc.8,urn:cite:phoros:places.35
urn:cite:phoros:loc.9,urn:cite:phoros:places.56
urn:cite:phoros:loc.10,urn:cite:phoros:places.7
urn:cite:phoros:loc.11,urn:cite:phoros:places.29
urn:cite:phoros:loc.12,urn:cite:phoros:places.33
urn:cite:phoros:loc.13,urn:cite:phoros:places.22
urn:cite:phoros:loc.14,urn:cite:phoros:places.38
urn:cite:phoros:loc.15,urn:cite:phoros:places.58
urn:cite:phoros:loc.16,urn:cite:phoros:places.63
urn:cite:phoros:loc.17,urn:cite:phoros:places.66
urn:cite:phoros:loc.18,urn:cite:phoros:places.73
urn:cite:phoros:loc.19,urn:cite:phoros:places.77
urn:cite:phoros:loc.20,urn:cite:phoros:places.80
urn:cite:phoros:loc.21,urn:cite:phoros:places.9
urn:cite:phoros:loc.22,urn:cite:phoros:places.14
urn:cite:phoros:loc.23,urn:cite:phoros:places.26
urn:cite:phoros:loc.24,urn:cite:phoros:places.32
urn:cite:phoros:loc.25,urn:cite:phoros:places.36
urn:cite:phoros:loc.26,urn:cite:phoros:places.54
urn:cite:phoros:loc.27,urn:cite:phoros:places.72
urn:cite:phoros:loc.28,urn:cite:phoros:places.10
urn:cite:phoros:loc.29,urn:cite:phoros:places.15
urn:cite:phoros:loc.30,urn:cite:phoros:places.42
urn:cite:phoros:loc.31,urn:cite:phoros:places.53
urn:cite:phoros:loc.32,urn:cite:phoros:places.12
urn:cite:phoros:loc.33,urn:cite:phoros:places.23
urn:cite:phoros:loc.34,urn:cite:phoros:places.19
urn:cite:phoros:loc.35,urn:cite:phoros:places.37
urn:cite:phoros:loc.36,urn:cite:phoros:places.45
urn:cite:phoros:loc.37,urn:cite:phoros:places.51
urn:cite:phoros:loc.38,urn:cite:phoros:places.57
urn:cite:phoros:loc.39,urn:cite:phoros:places.79
urn:cite:phoros:loc.40,urn:cite:phoros:places.20
urn:cite:phoros:loc.41,urn:cite:phoros:places.39
urn:cite:phoros:loc.42,urn:cite:phoros:places.82
urn:cite:phoros:loc.43,urn:cite:phoros:places.52
urn:cite:phoros:loc.44,urn:cite:phoros:places.60
urn:cite:phoros:loc.45,urn:cite:phoros:places.78
urn:cite:phoros:loc.46,urn:cite:phoros:places.44
urn:cite:phoros:loc.47,urn:cite:phoros:places.47
urn:cite:phoros:loc.48,urn:cite:phoros:places.65
urn:cite:phoros:loc.49,urn:cite:phoros:places.67
urn:cite:phoros:loc.50,urn:cite:phoros:places.74
urn:cite:phoros:loc.51,urn:cite:phoros:places.48
urn:cite:phoros:loc.52,urn:cite:phoros:places.61
urn:cite:phoros:loc.53,urn:cite:phoros:places.71
urn:cite:phoros:loc.54,urn:cite:phoros:places.75
urn:cite:phoros:loc.55,urn:cite:phoros:places.83
urn:cite:phoros:loc.56,urn:cite:phoros:places.97
urn:cite:phoros:loc.57,urn:cite:phoros:places.102
urn:cite:phoros:loc.58,urn:cite:phoros:places.95
urn:cite:phoros:loc.59,urn:cite:phoros:places.85
urn:cite:phoros:loc.60,urn:cite:phoros:places.94
urn:cite:phoros:loc.61,urn:cite:phoros:places.86
urn:cite:phoros:loc.62,urn:cite:phoros:places.87
urn:cite:phoros:loc.63,urn:cite:phoros:places.103
urn:cite:phoros:loc.64,urn:cite:phoros:places.88
urn:cite:phoros:loc.65,urn:cite:phoros:places.93
urn:cite:phoros:loc.66,urn:cite:phoros:places.99
urn:cite:phoros:loc.67,urn:cite:phoros:places.96
urn:cite:phoros:loc.68,urn:cite:phoros:places.101
urn:cite:phoros:loc.69,urn:cite:phoros:places.100
urn:cite:phoros:loc.70,urn:cite:phoros:places.105
urn:cite:phoros:loc.71,urn:cite:phoros:places.114
urn:cite:phoros:loc.72,urn:cite:phoros:places.106
urn:cite:phoros:loc.73,urn:cite:phoros:places.112
urn:cite:phoros:loc.74,urn:cite:phoros:places.109
urn:cite:phoros:loc.75,urn:cite:phoros:places.110
urn:cite:phoros:loc.76,urn:cite:phoros:places.111
urn:cite:phoros:loc.77,urn:cite:phoros:places.115
urn:cite:phoros:loc.78,urn:cite:phoros:places.116
urn:cite:phoros:loc.79,urn:cite:phoros:places.117
urn:cite:phoros:loc.80,urn:cite:phoros:places.118
urn:cite:phoros:loc.81,urn:cite:phoros:places.119
urn:cite:phoros:loc.82,urn:cite:phoros:places.134
urn:cite:phoros:loc.83,urn:cite:phoros:places.121
urn:cite:phoros:loc.84,urn:cite:phoros:places.128
urn:cite:phoros:loc.85,urn:cite:phoros:places.129
urn:cite:phoros:loc.86,urn:cite:phoros:places.122
urn:cite:phoros:loc.87,urn:cite:phoros:places.125
urn:cite:phoros:loc.88,urn:cite:phoros:places.126
urn:cite:phoros:loc.89,urn:cite:phoros:places.130
urn:cite:phoros:loc.90,urn:cite:phoros:places.131
urn:cite:phoros:loc.91,urn:cite:phoros:places.141
urn:cite:phoros:loc.92,urn:cite:phoros:places.123
urn:cite:phoros:loc.93,urn:cite:phoros:places.142
urn:cite:phoros:loc.94,urn:cite:phoros:places.127
urn:cite:phoros:loc.95,urn:cite:phoros:places.132
urn:cite:phoros:loc.96,urn:cite:phoros:places.138
urn:cite:phoros:loc.97,urn:cite:phoros:places.133
urn:cite:phoros:loc.98,urn:cite:phoros:places.139
urn:cite:phoros:loc.99,urn:cite:phoros:places.135
urn:cite:phoros:loc.100,urn:cite:phoros:places.137
urn:cite:phoros:loc.101,urn:cite:phoros:places.140
urn:cite:phoros:loc.102,urn:cite:phoros:places.143
urn:cite:phoros:loc.103,urn:cite:phoros:places.145
urn:cite:phoros:loc.104,urn:cite:phoros:places.182
urn:cite:phoros:loc.105,urn:cite:phoros:places.153
urn:cite:phoros:loc.106,urn:cite:phoros:places.148
urn:cite:phoros:loc.107,urn:cite:phoros:places.149
urn:cite:phoros:loc.108,urn:cite:phoros:places.157
urn:cite:phoros:loc.109,urn:cite:phoros:places.159
urn:cite:phoros:loc.110,urn:cite:phoros:places.163
urn:cite:phoros:loc.111,urn:cite:phoros:places.167
urn:cite:phoros:loc.112,urn:cite:phoros:places.150
urn:cite:phoros:loc.113,urn:cite:phoros:places.151
urn:cite:phoros:loc.114,urn:cite:phoros:places.152
urn:cite:phoros:loc.115,urn:cite:phoros:places.155
urn:cite:phoros:loc.116,urn:cite:phoros:places.162
urn:cite:phoros:loc.117,urn:cite:phoros:places.158
urn:cite:phoros:loc.118,urn:cite:phoros:places.165
urn:cite:phoros:loc.119,urn:cite:phoros:places.166
urn:cite:phoros:loc.120,urn:cite:phoros:places.173
urn:cite:phoros:loc.121,urn:cite:phoros:places.174
urn:cite:phoros:loc.122,urn:cite:phoros:places.176
urn:cite:phoros:loc.123,urn:cite:phoros:places.177
urn:cite:phoros:loc.124,urn:cite:phoros:places.178
urn:cite:phoros:loc.125,urn:cite:phoros:places.179
urn:cite:phoros:loc.126,urn:cite:phoros:places.180
urn:cite:phoros:loc.127,urn:cite:phoros:places.184
urn:cite:phoros:loc.128,urn:cite:phoros:places.185
urn:cite:phoros:loc.129,urn:cite:phoros:places.186
urn:cite:phoros:loc.130,urn:cite:phoros:places.187
urn:cite:phoros:loc.131,urn:cite:phoros:places.191
urn:cite:phoros:loc.132,urn:cite:phoros:places.197
urn:cite:phoros:loc.133,urn:cite:phoros:places.188
urn:cite:phoros:loc.134,urn:cite:phoros:places.190
urn:cite:phoros:loc.135,urn:cite:phoros:places.198
urn:cite:phoros:loc.136,urn:cite:phoros:places.192
urn:cite:phoros:loc.137,urn:cite:phoros:places.193
urn:cite:phoros:loc.138,urn:cite:phoros:places.194
urn:cite:phoros:loc.139,urn:cite:phoros:places.196
urn:cite:phoros:loc.140,urn:cite:phoros:places.195
urn:cite:phoros:loc.141,urn:cite:phoros:places.199
urn:cite:phoros:loc.142,urn:cite:phoros:places.200
urn:cite:phoros:loc.143,urn:cite:phoros:places.202
urn:cite:phoros:loc.144,urn:cite:phoros:places.203
urn:cite:phoros:loc.145,urn:cite:phoros:places.204
urn:cite:phoros:loc.146,urn:cite:phoros:places.209
urn:cite:phoros:loc.147,urn:cite:phoros:places.208
urn:cite:phoros:loc.148,urn:cite:phoros:places.211
urn:cite:phoros:loc.149,urn:cite:phoros:places.215
urn:cite:phoros:loc.150,urn:cite:phoros:places.218
urn:cite:phoros:loc.151,urn:cite:phoros:places.219
urn:cite:phoros:loc.152,urn:cite:phoros:places.221
